vidid,Predicted
VID_21928,1
VID_22002,1
VID_19194,18
VID_17892,1
VID_19234,1
VID_1790,1
VID_7878,1
VID_6945,1
VID_17600,1
VID_7502,2
VID_11761,1
VID_578,1
VID_2068,1
VID_10591,2
VID_1300,1
VID_2950,1
VID_12930,1
VID_22247,3
VID_4330,1
VID_14398,1
VID_8506,1
VID_12462,1
VID_21697,2
VID_14574,1
VID_14171,1
VID_22620,1
VID_5642,1
VID_12689,1
VID_3676,1
VID_23515,1
VID_11336,1
VID_8360,3
VID_14293,2
VID_7088,2
VID_11588,1
VID_12193,1
VID_18944,1
VID_14220,1
VID_2589,1
VID_17644,2
VID_20263,1
VID_15204,1
VID_6855,1
VID_19306,1
VID_20132,1
VID_18477,5
VID_4562,1
VID_17001,1
VID_6858,1
VID_20250,1
VID_22484,1
VID_2358,1
VID_17132,12
VID_19635,1
VID_20188,1
VID_1272,3
VID_2390,1
VID_10914,1
VID_9647,2
VID_11219,1
VID_13260,1
VID_21600,1
VID_12441,1
VID_15261,1
VID_11540,1
VID_20101,1
VID_3909,3
VID_14409,1
VID_10430,1
VID_8148,1
VID_9579,1
VID_12302,2
VID_7161,1
VID_17471,1
VID_13296,5
VID_1935,1
VID_23277,1
VID_20389,1
VID_2988,1
VID_5453,1
VID_6553,1
VID_18356,5
VID_15268,1
VID_21503,4
VID_6901,1
VID_5796,7
VID_21475,5
VID_19600,1
VID_7977,1
VID_4704,1
VID_20858,2
VID_23644,2
VID_12962,1
VID_4894,1
VID_4803,1
VID_8408,1
VID_12226,3
VID_1299,1
VID_7721,1
VID_1919,1
VID_23316,2
VID_17849,1
VID_1313,3
VID_9117,1
VID_9152,1
VID_15543,1
VID_11505,1
VID_647,1
VID_2236,1
VID_14118,1
VID_1225,1
VID_11257,1
VID_13130,2
VID_12580,2
VID_860,1
VID_14251,1
VID_6476,1
VID_13070,2
VID_4623,1
VID_13599,1
VID_11705,1
VID_11736,1
VID_14145,2
VID_13264,1
VID_10476,1
VID_22755,1
VID_13294,4
VID_964,4
VID_23498,1
VID_12090,1
VID_7494,2
VID_141,1
VID_242,3
VID_8088,6
VID_10154,1
VID_3878,5
VID_4799,1
VID_12287,2
VID_15607,1
VID_9974,1
VID_20032,1
VID_9920,1
VID_7959,2
VID_21506,1
VID_15898,1
VID_4349,1
VID_16235,2
VID_6391,1
VID_4940,1
VID_16185,9
VID_6988,1
VID_877,1
VID_23610,1
VID_17702,1
VID_18664,4
VID_9915,1
VID_4438,1
VID_15812,1
VID_15966,1
VID_2832,1
VID_20533,2
VID_12692,1
VID_11340,1
VID_10760,1
VID_19631,2
VID_7012,1
VID_7799,1
VID_3963,1
VID_501,1
VID_9202,1
VID_14268,1
VID_21714,1
VID_23154,1
VID_4429,2
VID_16062,1
VID_6282,1
VID_13205,1
VID_8515,1
VID_9480,1
VID_21979,1
VID_18494,1
VID_20589,4
VID_15916,1
VID_17023,1
VID_8425,1
VID_3586,1
VID_5788,1
VID_12137,1
VID_14347,1
VID_19044,2
VID_11039,12
VID_3484,1
VID_15142,1
VID_3351,5
VID_5895,1
VID_16112,2
VID_19247,2
VID_11439,6
VID_18883,1
VID_12140,1
VID_17446,1
VID_5115,1
VID_21486,3
VID_17120,1
VID_3959,1
VID_15956,1
VID_15739,1
VID_2682,1
VID_14621,1
VID_9320,1
VID_12110,1
VID_11354,1
VID_811,1
VID_9472,1
VID_4773,1
VID_12695,1
VID_19547,1
VID_530,1
VID_155,1
VID_22955,1
VID_20307,1
VID_11612,1
VID_15674,2
VID_13000,1
VID_1455,3
VID_23534,1
VID_18740,1
VID_17988,2
VID_21728,1
VID_10905,2
VID_18445,1
VID_21983,4
VID_16023,1
VID_1444,1
VID_1814,2
VID_19094,1
VID_19355,2
VID_20430,2
VID_13461,1
VID_9066,2
VID_3020,1
VID_13577,1
VID_5062,1
VID_9293,1
VID_16663,1
VID_20444,1
VID_22353,1
VID_22384,3
VID_23036,1
VID_12705,2
VID_11785,2
VID_22988,6
VID_9495,1
VID_8909,1
VID_13459,2
VID_22206,1
VID_12228,6
VID_2335,1
VID_17498,1
VID_18702,1
VID_10850,1
VID_12956,1
VID_6246,1
VID_9539,1
VID_17436,1
VID_8383,6
VID_4554,1
VID_18487,2
VID_6285,2
VID_287,1
VID_5371,3
VID_10704,1
VID_20810,1
VID_7972,1
VID_10923,2
VID_11876,1
VID_15477,2
VID_12366,1
VID_6538,2
VID_10092,3
VID_6826,1
VID_22526,3
VID_10897,1
VID_3400,2
VID_9995,2
VID_19337,1
VID_9673,1
VID_12280,1
VID_14038,6
VID_11157,1
VID_13406,1
VID_7774,1
VID_7386,1
VID_2419,1
VID_6334,3
VID_1778,2
VID_4907,2
VID_7122,3
VID_10445,1
VID_18113,4
VID_6716,4
VID_5803,1
VID_6459,1
VID_14427,1
VID_3872,3
VID_6774,3
VID_11609,1
VID_21821,1
VID_14317,1
VID_4982,1
VID_5798,2
VID_4365,1
VID_6535,1
VID_7237,5
VID_10388,1
VID_17934,1
VID_838,1
VID_5439,1
VID_11455,1
VID_7473,1
VID_16677,1
VID_18433,1
VID_10243,1
VID_23592,1
VID_19401,1
VID_2547,1
VID_4525,1
VID_13804,1
VID_22266,1
VID_7560,1
VID_10381,1
VID_4977,1
VID_14081,1
VID_19054,1
VID_2608,28
VID_8639,1
VID_4407,1
VID_9135,1
VID_9462,1
VID_10687,1
VID_15274,1
VID_22631,1
VID_3777,1
VID_10585,1
VID_18024,1
VID_10941,1
VID_525,1
VID_17097,1
VID_13836,2
VID_12202,1
VID_20868,1
VID_17084,2
VID_23196,1
VID_7322,1
VID_17922,1
VID_5486,1
VID_15289,1
VID_7993,2
VID_14078,1
VID_21530,1
VID_11469,1
VID_20959,1
VID_18159,1
VID_19624,2
VID_19029,1
VID_3489,2
VID_15983,7
VID_23605,1
VID_23757,1
VID_7488,1
VID_15445,1
VID_4538,3
VID_22661,1
VID_5912,1
VID_3324,1
VID_21241,2
VID_18194,1
VID_8640,2
VID_10657,1
VID_3622,1
VID_14909,1
VID_5961,1
VID_117,1
VID_4690,3
VID_10717,1
VID_20280,1
VID_6395,2
VID_9199,2
VID_6343,5
VID_7459,1
VID_18041,2
VID_12175,1
VID_8174,2
VID_15644,1
VID_3021,1
VID_251,1
VID_20609,1
VID_2033,1
VID_20357,1
VID_16428,1
VID_12297,8
VID_1214,17
VID_19907,2
VID_4697,1
VID_22474,1
VID_4002,3
VID_17351,3
VID_937,1
VID_17501,1
VID_2312,1
VID_22996,1
VID_14413,1
VID_7938,1
VID_616,1
VID_22499,1
VID_21393,1
VID_23320,1
VID_22780,1
VID_10862,1
VID_21132,2
VID_1416,1
VID_624,1
VID_10127,2
VID_15874,1
VID_6946,1
VID_8674,1
VID_22878,1
VID_560,1
VID_13640,176421
VID_9765,1
VID_22398,1
VID_20560,1
VID_4068,1
VID_938,1
VID_19068,1
VID_8889,1
VID_23347,1
VID_16952,1
VID_6032,1
VID_5116,1
VID_4210,1
VID_22022,1
VID_16770,1
VID_18981,1
VID_1668,1
VID_23726,3
VID_18550,1
VID_5518,1
VID_12958,1
VID_16501,1
VID_21485,1
VID_14475,1
VID_3865,1
VID_21642,9
VID_22934,3
VID_14667,1
VID_5519,2
VID_17889,1
VID_17728,1
VID_8727,5
VID_14785,1
VID_16387,1
VID_10703,1
VID_7213,9
VID_14454,1
VID_13455,1
VID_5467,1
VID_21139,1
VID_9033,3
VID_3863,1
VID_13990,1
VID_2641,1
VID_15745,1
VID_5929,1
VID_769,1
VID_5499,3
VID_8609,2
VID_3903,3
VID_19579,1
VID_10506,1
VID_23577,1
VID_9042,1
VID_10606,2
VID_14849,1
VID_10497,1
VID_21208,1
VID_12837,1
VID_7924,1
VID_21109,5
VID_6848,1
VID_8993,5
VID_10584,1
VID_19794,1
VID_15209,1
VID_6195,1
VID_22498,1
VID_9814,1
VID_18155,1
VID_20573,1
VID_4092,3
VID_15455,1
VID_8989,1
VID_1852,1
VID_17278,1
VID_12619,4
VID_22663,1
VID_15372,1
VID_13978,1
VID_17325,1
VID_19025,2
VID_21374,1
VID_10207,2
VID_11924,1
VID_8975,1
VID_8851,1
VID_12210,1
VID_8178,1
VID_19252,1
VID_5421,3
VID_6757,1
VID_8125,1
VID_14709,1
VID_5795,3
VID_21888,1
VID_14058,1
VID_8028,1
VID_22918,2
VID_11731,1
VID_22841,1
VID_7453,1
VID_11870,1
VID_20484,1
VID_1971,1
VID_599,1
VID_16812,2
VID_5401,1
VID_16289,1
VID_12150,1
VID_13299,1
VID_19015,1
VID_1604,1
VID_18013,1
VID_2240,1
VID_8114,1
VID_13586,1
VID_2784,3
VID_1539,3
VID_6787,1
VID_11544,1
VID_5296,1
VID_5684,1
VID_7467,1
VID_5869,1
VID_19596,1
VID_96,1
VID_859,1
VID_13559,1
VID_20976,3
VID_18524,5
VID_3089,2
VID_4453,1
VID_15802,1
VID_18291,1
VID_3914,3
VID_10582,1
VID_11482,2
VID_615,1
VID_19069,1
VID_911,1
VID_3308,1
VID_5668,1
VID_16402,1
VID_19375,1
VID_8556,1
VID_19966,2
VID_17274,1
VID_407,1
VID_23383,1
VID_6105,1
VID_2643,6
VID_18875,1
VID_13188,1
VID_13504,1
VID_17900,2
VID_6368,2
VID_19648,1
VID_23490,1
VID_9098,1
VID_12973,1
VID_15207,1
VID_17033,1
VID_21758,1
VID_21628,1
VID_3935,1
VID_5670,1
VID_13844,1
VID_20416,1
VID_19885,1
VID_15487,1
VID_9890,1
VID_17721,2
VID_2585,1
VID_19723,1
VID_22716,1
VID_10004,1
VID_1529,1
VID_8126,1
VID_4224,2
VID_22704,1
VID_10705,3
VID_10524,1
VID_1133,5
VID_3404,2
VID_20344,1
VID_9397,1
VID_20601,3
VID_9482,1
VID_6673,1
VID_3899,2
VID_7008,2
VID_2690,1
VID_7483,1
VID_1614,2
VID_241,1
VID_13499,1
VID_11734,1
VID_18937,1
VID_11906,2
VID_11525,1
VID_4199,1
VID_19984,1
VID_15743,1
VID_23097,2
VID_16716,1
VID_6805,1
VID_6552,2
VID_269,1
VID_13646,3
VID_10761,1
VID_16502,1
VID_10352,2
VID_10226,1
VID_23493,1
VID_734,3
VID_5364,1
VID_5122,1
VID_2104,1
VID_5143,1
VID_3850,1
VID_23633,2
VID_19158,3
VID_23597,2
VID_5716,1
VID_23516,1
VID_12921,2
VID_17949,1
VID_8164,6
VID_2097,2
VID_10400,1
VID_998,1
VID_11447,2
VID_7866,1
VID_11664,1
VID_7094,1
VID_19536,1
VID_13747,1
VID_6307,5
VID_2424,1
VID_6363,1
VID_1524,3
VID_20772,1
VID_23466,1
VID_10752,1
VID_4918,1
VID_23046,1
VID_6694,1
VID_4646,2
VID_17016,1
VID_11145,1
VID_12387,1
VID_22126,1
VID_17930,1
VID_12268,1
VID_5192,3
VID_16369,1
VID_11841,1
VID_13926,1
VID_5622,1
VID_5346,1
VID_10544,1
VID_6622,1
VID_17583,1
VID_13876,1
VID_1033,1
VID_10998,2
VID_7037,1
VID_22495,1
VID_13170,1
VID_7480,1
VID_13753,1
VID_13831,3
VID_17763,1
VID_2793,1
VID_20514,1
VID_22850,2
VID_3953,4
VID_2434,1
VID_13670,1
VID_12368,1
VID_19664,2
VID_4173,1
VID_15859,11
VID_14717,1
VID_18425,1
VID_5232,1
VID_6288,8
VID_7433,2
VID_1003,1
VID_13060,1
VID_15297,1
VID_9730,1
VID_19022,1
VID_1885,2
VID_7425,1
VID_20867,1
VID_2501,2
VID_19822,1
VID_10604,2
VID_18763,1
VID_1818,1
VID_16644,1
VID_7528,1
VID_8166,1
VID_22357,16
VID_3918,2
VID_10589,2
VID_3027,1
VID_23607,2
VID_9153,1
VID_291,1
VID_8213,1
VID_9424,1
VID_19769,2
VID_22910,2
VID_14626,1
VID_2363,1
VID_5125,1
VID_16291,2
VID_14392,1
VID_1036,1
VID_14153,3
VID_13506,3
VID_6149,1
VID_2777,1
VID_19018,5
VID_8497,3
VID_21395,1
VID_7117,1
VID_21328,1
VID_7710,1
VID_17750,1
VID_1680,1
VID_4028,1
VID_20481,1
VID_8880,1
VID_21640,1
VID_13074,1
VID_8763,1
VID_3983,3
VID_432,1
VID_14174,1
VID_23234,1
VID_23704,1
VID_5492,1
VID_6329,1
VID_3504,2
VID_5758,1
VID_4794,1
VID_20788,1
VID_5213,2
VID_6785,6
VID_11456,2
VID_22729,3
VID_9741,1
VID_16684,5
VID_11853,1
VID_3598,3
VID_6772,1
VID_2469,2
VID_2206,3
VID_6843,1
VID_10634,1
VID_8040,1
VID_12369,1
VID_2693,2
VID_11067,2
VID_11520,1
VID_2821,2
VID_3038,1
VID_11250,1
VID_22710,1
VID_11733,1
VID_7363,1
VID_23723,1
VID_11688,1
VID_6034,1
VID_22123,1
VID_20388,1
VID_6503,1
VID_15018,1
VID_22601,1
VID_3210,1
VID_11450,1
VID_1040,3
VID_13938,1
VID_20462,2
VID_22043,2
VID_23262,3
VID_13502,1
VID_13855,1
VID_1368,1
VID_9381,1
VID_12394,2
VID_19290,1
VID_5050,4
VID_23326,1
VID_5262,1
VID_23088,1
VID_13259,1
VID_13056,1
VID_17553,1
VID_5220,1
VID_16497,1
VID_17882,1
VID_14613,2
VID_600,1
VID_19476,1
VID_814,1
VID_21709,4
VID_23117,2
VID_22461,4
VID_5566,1
VID_3407,2
VID_5958,1
VID_15941,5
VID_11387,1
VID_11741,1
VID_70,1
VID_20781,1
VID_11832,1
VID_1723,1
VID_6240,1
VID_8963,1
VID_14121,1
VID_7960,1
VID_14523,1
VID_20941,1
VID_23728,1
VID_17575,3
VID_13353,1
VID_18877,1
VID_19283,1
VID_19494,9
VID_12311,1
VID_21019,4
VID_23343,1
VID_16495,33
VID_2932,1
VID_21207,1
VID_12004,1
VID_11129,2
VID_15892,1
VID_5645,1
VID_8615,1
VID_20982,1
VID_12201,1
VID_20427,1
VID_17217,2
VID_1642,1
VID_11516,1
VID_23022,1
VID_7142,3
VID_9909,1
VID_9529,2
VID_22664,1
VID_435,1
VID_15960,1
VID_12952,1
VID_21100,1
VID_23229,1
VID_10906,1
VID_2945,1
VID_10393,1
VID_11026,1
VID_13865,1
VID_13079,1
VID_20285,1
VID_22600,1
VID_15248,1
VID_12096,1
VID_12609,2
VID_21464,1
VID_2568,1
VID_18864,1
VID_3347,1
VID_15238,1
VID_17746,1
VID_20055,1
VID_7138,1
VID_5665,1
VID_8130,1
VID_14441,1
VID_8693,1
VID_12944,1
VID_3446,3
VID_2862,1
VID_5671,1
VID_8484,1
VID_5596,1
VID_15925,1
VID_18290,1
VID_4102,1
VID_18762,1
VID_49,1
VID_19899,1
VID_6311,1
VID_9972,2
VID_12965,1
VID_12420,1
VID_7547,1
VID_21893,2
VID_21819,1
VID_20945,1
VID_3359,5
VID_1671,1
VID_7479,1
VID_12766,3
VID_8145,1
VID_13652,1
VID_21627,1
VID_472,1
VID_16667,4
VID_20187,1
VID_18033,3
VID_1061,1
VID_3719,1
VID_14470,1
VID_430,1
VID_22153,1
VID_19285,1
VID_8843,1
VID_11084,1
VID_1246,2
VID_22180,1
VID_3111,1
VID_7313,1
VID_23081,1
VID_10020,3
VID_5656,1
VID_15080,1
VID_18949,2
VID_10056,1
VID_17696,1
VID_23304,1
VID_22199,1
VID_4851,1
VID_3917,3
VID_6859,1
VID_21622,1
VID_20987,1
VID_20279,1
VID_12069,1
VID_3742,1
VID_5130,1
VID_3029,1
VID_23673,1
VID_9586,2
VID_11637,1
VID_15344,1
VID_12885,1
VID_4096,2
VID_4138,1
VID_12864,2
VID_5340,2
VID_11542,1
VID_18608,1
VID_15189,1
VID_22317,1
VID_22385,1
VID_10936,14
VID_11519,1
VID_12576,1
VID_20918,1
VID_17112,1
VID_2396,1
VID_3125,4
VID_9058,2
VID_5939,5
VID_7593,1
VID_4754,3
VID_2974,2
VID_3590,6
VID_3600,1
VID_8459,1
VID_4543,1
VID_12434,1
VID_12167,1
VID_1322,2
VID_19409,1
VID_10523,1
VID_4457,1
VID_19478,1
VID_20828,1
VID_10775,1
VID_12091,2
VID_14378,1
VID_1418,3
VID_12458,1
VID_15357,2
VID_3555,1
VID_19662,2
VID_9393,1
VID_19125,1
VID_17044,1
VID_14112,1
VID_22607,1
VID_9508,1
VID_18141,1
VID_13392,1
VID_6306,1
VID_16298,1
VID_5832,1
VID_20852,1
VID_2052,1
VID_11283,1
VID_20392,1
VID_22108,1
VID_3064,1
VID_4482,2
VID_11672,2
VID_3301,9
VID_20106,1
VID_16205,9
VID_9532,2
VID_11294,1
VID_12690,3
VID_21059,7
VID_2388,1
VID_17405,1
VID_3099,1
VID_20770,1
VID_17262,1
VID_4476,1
VID_1163,2
VID_22777,1
VID_21090,1
VID_6598,1
VID_5743,1
VID_21253,1
VID_20611,3
VID_1089,3
VID_4371,2
VID_17003,1
VID_18424,1
VID_1222,1
VID_6479,1
VID_13563,1
VID_12946,1
VID_8437,1
VID_21515,1
VID_14775,1
VID_17802,1
VID_8274,1
VID_23680,1
VID_6005,1
VID_23105,1
VID_9956,1
VID_6750,1
VID_16401,1
VID_23075,1
VID_14863,1
VID_19341,1
VID_19522,3
VID_7749,1
VID_17107,1
VID_12774,1
VID_8974,1
VID_11208,1
VID_6781,1
VID_2411,1
VID_8384,2
VID_21496,1
VID_18389,1
VID_18660,1
VID_1547,1
VID_1065,1
VID_7387,1
VID_11746,1
VID_7133,1
VID_17890,1
VID_12710,2
VID_4806,5
VID_1976,1
VID_13114,1
VID_19933,1
VID_8961,1
VID_4436,1
VID_11471,1
VID_6393,1
VID_8690,1
VID_1266,1
VID_10199,2
VID_16287,2
VID_11285,1
VID_22078,8
VID_22632,1
VID_17811,1
VID_308,1
VID_8559,2
VID_13391,1
VID_23733,1
VID_12814,1
VID_7783,1
VID_11619,2
VID_4950,17
VID_17844,1
VID_15758,1
VID_20079,1
VID_10069,2
VID_15577,1
VID_9911,1
VID_17668,1
VID_22412,1
VID_20668,1
VID_5469,1
VID_3477,1
VID_15324,2
VID_11267,1
VID_8597,1
VID_14548,2
VID_1194,2
VID_5600,1
VID_714,1
VID_15462,2
VID_17243,1
VID_2432,1
VID_12784,1
VID_4755,1
VID_12103,1
VID_5452,1
VID_1077,1
VID_13656,1
VID_23047,1
VID_2692,1
VID_20623,1
VID_19418,1
VID_22232,2
VID_6574,1
VID_7327,1
VID_13579,2
VID_14575,1
VID_5813,1
VID_15008,1
VID_575,1
VID_20939,2
VID_1973,1
VID_6371,1
VID_14854,1
VID_14833,1
VID_21299,1
VID_16915,1
VID_6309,2
VID_10230,1
VID_17533,3
VID_13445,1
VID_20091,1
VID_14734,3
VID_990,1
VID_1433,3
VID_17335,3
VID_9492,2
VID_16368,1
VID_21194,1
VID_7536,1
VID_11647,1
VID_22540,1
VID_12919,1
VID_8573,1
VID_332,1
VID_23679,1
VID_6675,1
VID_6431,1
VID_12138,1
VID_14674,1
VID_9043,8
VID_1427,3
VID_10326,2
VID_6121,1
VID_20413,2
VID_19785,1
VID_12681,1
VID_20531,2
VID_6356,1
VID_3790,2
VID_6591,1
VID_1798,2
VID_409,1
VID_11941,1
VID_22788,1
VID_9094,4
VID_7071,1
VID_3436,17
VID_20475,1
VID_22614,1
VID_15108,1
VID_7007,1
VID_18260,1
VID_10317,1
VID_21914,1
VID_8034,1
VID_9624,1
VID_9860,1
VID_609,1
VID_9013,11
VID_15684,1
VID_11353,4
VID_23124,2
VID_7717,1
VID_12993,1
VID_390,1
VID_2574,1
VID_9826,1
VID_20411,1
VID_13748,1
VID_22008,1
VID_23133,1
VID_18461,1
VID_13349,1
VID_8256,1
VID_10201,2
VID_773,4
VID_11020,5
VID_12745,1
VID_19425,7
VID_12029,1
VID_1907,1
VID_22849,1
VID_2714,1
VID_19918,2
VID_6134,1
VID_5853,1
VID_10963,1
VID_8466,1
VID_14189,4
VID_13934,1
VID_5932,1
VID_15673,1
VID_7804,1
VID_3722,1
VID_19906,1
VID_3043,1
VID_1513,1
VID_2110,1
VID_17568,1
VID_11373,13
VID_22316,1
VID_15689,1
VID_22380,1
VID_6587,2
VID_7533,1
VID_15710,2
VID_821,13
VID_13807,1
VID_12586,1
VID_7625,2
VID_22652,1
VID_9901,1
VID_21380,1
VID_7879,1
VID_15339,2
VID_10163,1
VID_20937,1
VID_21929,1
VID_19609,1
VID_64,1
VID_17238,1
VID_9551,1
VID_9804,1
VID_4537,1
VID_10869,1
VID_22949,1
VID_7384,1
VID_15761,3
VID_3571,1
VID_8563,1
VID_16120,1
VID_11440,1
VID_3480,2
VID_4673,1
VID_4063,5
VID_16045,2
VID_2318,1
VID_21811,1
VID_685,1
VID_18512,10
VID_21188,1
VID_16896,1
VID_4347,1
VID_2525,1
VID_20174,3
VID_7525,1
VID_6181,1
VID_8939,1
VID_6809,1
VID_16279,1
VID_2836,1
VID_19921,1
VID_10241,1
VID_5180,1
VID_7716,1
VID_5583,1
VID_12564,8
VID_2866,1
VID_3702,2
VID_10224,2
VID_19132,1
VID_16745,1
VID_9703,1
VID_9081,1
VID_14978,1
VID_20905,2
VID_18935,1
VID_21108,1
VID_18493,1
VID_8814,1
VID_7192,1
VID_7355,1
VID_2617,4
VID_22856,1
VID_2794,1
VID_3468,1
VID_17472,1
VID_13767,1
VID_17302,1
VID_22238,1
VID_23200,1
VID_14721,1
VID_13902,1
VID_2880,1
VID_23371,1
VID_13147,1
VID_16856,1
VID_7893,1
VID_4230,1
VID_9663,1
VID_22068,4
VID_3623,1
VID_14520,1
VID_3215,3
VID_12263,5
VID_20214,1
VID_2926,1
VID_13776,1
VID_16270,38
VID_1102,3
VID_2656,4
VID_17831,1
VID_17518,1
VID_20006,1
VID_4357,1
VID_5530,1
VID_2286,1
VID_3113,2
VID_2569,4
VID_17384,12
VID_14754,1
VID_12427,1
VID_7113,1
VID_10799,1
VID_6332,1
VID_13405,1
VID_4411,1
VID_5731,1
VID_16584,1
VID_4568,1
VID_3575,1
VID_15944,1
VID_15417,3
VID_5761,1
VID_11243,1
VID_362,2
VID_8932,1
VID_22733,1
VID_793,1
VID_10956,13
VID_4422,1
VID_10549,2
VID_3939,1
VID_19790,2
VID_18850,1
VID_13900,2
VID_14794,1
VID_19774,1
VID_12857,1
VID_17928,2
VID_3372,1
VID_15175,2
VID_4571,1
VID_7559,1
VID_21354,2
VID_10061,1
VID_7537,1
VID_3488,3
VID_13611,1
VID_6878,1
VID_4973,1
VID_13113,1
VID_5266,1
VID_4629,1
VID_11240,2
VID_20165,1
VID_6081,1
VID_16533,1
VID_15917,1
VID_9570,1
VID_11907,1
VID_23040,1
VID_23418,1
VID_3402,5
VID_784,1
VID_9459,1
VID_14437,1
VID_11004,3
VID_18896,1
VID_10256,1
VID_17618,1
VID_22331,1
VID_3752,1
VID_12128,1
VID_5781,1
VID_22852,1
VID_3982,2
VID_12789,1
VID_10045,2
VID_16750,1
VID_4877,1
VID_21679,1
VID_4105,23
VID_10655,1
VID_17768,1
VID_2849,1
VID_3663,10
VID_4544,1
VID_2207,1
VID_7078,2
VID_13144,1
VID_4884,1
VID_852,2
VID_12131,1
VID_16562,1
VID_9009,1
VID_13487,1
VID_14576,1
VID_16832,1
VID_17985,1
VID_21569,1
VID_4951,1
VID_18135,1
VID_1962,2
VID_23091,1
VID_23077,4
VID_9672,1
VID_20332,1
VID_4113,3
VID_6555,1
VID_6209,2
VID_23570,1
VID_14917,1
VID_17109,1
VID_6136,10
VID_3040,1
VID_9886,1
VID_18657,1
VID_2394,1
VID_1352,1
VID_8297,1
VID_10112,5
VID_4262,1
VID_10461,1
VID_1952,1
VID_10504,1
VID_10590,1
VID_18256,2
VID_19145,1
VID_20784,2
VID_448,1
VID_6293,1
VID_4462,1
VID_6650,1
VID_11002,1
VID_17404,1
VID_2118,1
VID_3642,2
VID_7963,1
VID_1340,11
VID_6769,1
VID_23631,1
VID_21726,1
VID_11721,1
VID_1553,4
VID_541,1
VID_2429,1
VID_13505,1
VID_23404,1
VID_6298,1
VID_13722,1
VID_19086,1
VID_19421,1
VID_3997,1
VID_5230,1
VID_14597,4
VID_22282,2
VID_3986,1
VID_13078,1
VID_5677,1
VID_7886,1
VID_20821,1
VID_13253,2
VID_3632,1
VID_15975,1
VID_22577,1
VID_15223,1
VID_11245,3
VID_1802,1
VID_7434,1
VID_11313,1
VID_2900,1
VID_106,1
VID_9784,1
VID_15561,1
VID_20893,2
VID_4174,13
VID_1295,1
VID_701,1
VID_13718,3
VID_15384,2
VID_7332,1
VID_21757,1
VID_16022,2
VID_16236,4
VID_4337,9
VID_20636,1
VID_639,1
VID_3511,1
VID_5508,1
VID_6281,1
VID_15053,1
VID_3435,1
VID_8616,2
VID_14044,1
VID_6493,1
VID_3158,1
VID_10253,1
VID_3001,10
VID_20951,1
VID_5750,1
VID_11466,6
VID_9642,1
VID_15556,1
VID_14167,1
VID_16180,2
VID_5456,1
VID_926,2
VID_16685,1
VID_14228,1
VID_14720,1
VID_18717,1
VID_10635,1
VID_20840,1
VID_3096,1
VID_3244,2
VID_21373,1
VID_5533,1
VID_4549,1
VID_22471,2
VID_3835,1
VID_17761,1
VID_5721,1
VID_510,1
VID_19978,1
VID_15191,1
VID_17998,4
VID_23349,1
VID_13271,1
VID_16457,1
VID_21777,1
VID_6416,1
VID_11087,5
VID_7437,1
VID_22835,1
VID_8283,1
VID_13522,4
VID_7611,1
VID_8984,1
VID_10628,1
VID_9849,1
VID_1968,1
VID_11578,1
VID_2237,2
VID_15132,1
VID_12746,1
VID_3130,5
VID_9593,1
VID_10652,1
VID_14015,1
VID_7116,2
VID_19028,1
VID_17430,1
VID_21788,1
